id,text,label,language,style,is_neutral_or_safe,speaker_role
SAATHI_00001,divorce and child custody ke legal aspects samajhne hain aur fir...,REQUEST_COUNSELLING_LEGAL_MEDICAL,hinglish,incomplete_hesitant,False,caller
SAATHI_00002,"Unstable dynamic with fluctuating danger levels every few moments, I am urgently asking for intervention.",CONTRADICTORY_CHANGING_SITUATION,en,compound_dialogue,False,caller
SAATHI_00003,प्लीज 112 को अलर्ट करिए मुझे तुरंत पुलिस सुरक्षा चाहिए,REQUEST_POLICE_EMERGENCY_HELP,hi,standard,False,caller
SAATHI_00004,urgent patrol car send karein to my address right now,REQUEST_POLICE_EMERGENCY_HELP,hinglish,standard,False,caller
SAATHI_00005,My spouse assaults me in front of our minor children regularly,DOMESTIC_FAMILY_VIOLENCE,en,spelling_variation,False,caller
SAATHI_00006,ghabra gayi hoon samajh nahi aa raha kya karoon,FEAR_DISTRESS_PANIC,hinglish,short,False,caller
SAATHI_00007,"meri life ka koi meaning nahi bacha i want to die, please kuch jaldi kijiye.",SELF_HARM_CONCERN,hinglish,compound_dialogue,False,caller
SAATHI_00008,मैडम... दिव्यांग होने के कारण मैं अपनी रक्षा खुद नहीं कर पा रहा हूं,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hi,conversational,False,caller
SAATHI_00009,"He calls me from dozens of virtual numbers whenever I block him, I am urgently asking for intervention.",STALKING_FOLLOWING,en,compound_dialogue,False,caller
SAATHI_00010,tv serial mein thriller climax scene dekh rahe the hum log,NEUTRAL_NO_INDICATOR,hinglish,short,True,caller
SAATHI_00011,उसने मेरे साथ जबरदस्ती करने की कोशिश की और कपड़े फाड़ दिए,SEXUAL_VIOLENCE_HARASSMENT,hi,standard,False,caller
SAATHI_00012,कृपया ध्यान दें... मेरी सास मुझे भूखा रखती है और मानसिक रूप से टॉर्चर करती है,DOMESTIC_FAMILY_VIOLENCE,hi,spelling_variation,False,caller
SAATHI_00013,कभी कहता है प्यार करता है,CONTRADICTORY_CHANGING_SITUATION,hi,short,False,caller
SAATHI_00014,He slapped me so violently that my eardrum started ringing and bleeding,PHYSICAL_VIOLENCE_INJURY,en,incomplete_hesitant,False,caller
SAATHI_00015,bike se follow karta hai roz office se aate waqt,STALKING_FOLLOWING,hinglish,spelling_variation,False,caller
SAATHI_00016,Influential village groups are attacking our hamlet using casteist abuse,DISCRIMINATION_CASTE_VULNERABILITY,en,spelling_variation,False,caller
SAATHI_00017,"evicted from house in dark lonely street right now, please kuch jaldi kijiye.",NO_SAFE_PLACE_HOMELESSNESS,hinglish,compound_dialogue,False,caller
SAATHI_00018,He warned me that going to court will cost my life aur fir...,THREAT_INTIMIDATION,en,incomplete_hesitant,False,caller
SAATHI_00019,laga tha truce ho gaya settlement but fir assault shuru,CONTRADICTORY_CHANGING_SITUATION,hinglish,conversational,False,caller
SAATHI_00020,मैं अलमारी के पीछे छुपी हूं वो ढूंढ रहा है मुझे pata nahi...,IMMEDIATE_PHYSICAL_DANGER,hi,incomplete_hesitant,False,caller
SAATHI_00021,He warned me that going to court will cost my life suno na...,THREAT_INTIMIDATION,en,incomplete_hesitant,False,caller
SAATHI_00022,मैं बाथरूम में बंद हूं वो बाहर कुल्हाड़ी लेकर खड़ा है,IMMEDIATE_PHYSICAL_DANGER,hi,short,False,caller
SAATHI_00023,case wapas lene ke liye coercion aur pressure create kar raha,COERCION_BLACKMAIL,hinglish,short,False,caller
SAATHI_00024,"I don't know the exact street address, everything is disorienting",UNCERTAINTY_UNCLEAR_INFO,en,short,False,caller
SAATHI_00025,I noticed the same man following on foot whenever I walk my dog,STALKING_FOLLOWING,en,standard,False,caller
SAATHI_00026,"caste and community backlash face kar rahe hain hum, please kuch jaldi kijiye.",SOCIAL_COMMUNITY_PRESSURE,hinglish,compound_dialogue,False,caller
SAATHI_00027,प्लीज... मैंने नींद की बहुत सारी गोलियां हाथ में ली हुई हैं,SELF_HARM_CONCERN,hi,conversational,False,caller
SAATHI_00028,I am completely in panic mode and cannot breathe properly,FEAR_DISTRESS_PANIC,en,spelling_variation,False,caller
SAATHI_00029,कृपया ध्यान दें... मेरा हाथ मरोड़ कर तोड़ दिया है बहुत तेज दर्द हो रहा है,PHYSICAL_VIOLENCE_INJURY,hi,spelling_variation,False,caller
SAATHI_00030,"He is using compromising screenshots to extort compliance from me, I am urgently asking for intervention.",COERCION_BLACKMAIL,en,compound_dialogue,False,caller
SAATHI_00031,मैं अपने पड़ोसियों के घर आ गई हूं यहां सब ठीक है jaldi...,CURRENT_SAFETY_REASSURANCE,hi,incomplete_hesitant,True,caller
SAATHI_00032,everything feels blurry not sure what happened exactly please...,UNCERTAINTY_UNCLEAR_INFO,hinglish,incomplete_hesitant,False,caller
SAATHI_00033,roz threatening messages bhej raha hai call pe jaldi...,THREAT_INTIMIDATION,hinglish,incomplete_hesitant,False,caller
SAATHI_00034,वो मेरी हर लोकेशन ट्रैक कर रहा है और जहां जाती हूं पहुंच जाता है suno na...,STALKING_FOLLOWING,hi,incomplete_hesitant,False,caller
SAATHI_00035,case wapas lene ke liye coercion aur pressure create kar raha,COERCION_BLACKMAIL,hinglish,short,False,caller
SAATHI_00036,कृपया ध्यान दें... मेंटल हेल्थ के लिए किसी मनोवैज्ञानिक से परामर्श लेना चाहती हूं,REQUEST_COUNSELLING_LEGAL_MEDICAL,hi,spelling_variation,False,caller
